topic,avg_rating,n,std,ratings,freq,pol_points,ME,residuals,comment_length
news-politics,4.205813564984965,239440,1.451331386868725,[5 1 4 3 2],[35171  6383  2225  2052  2057],1.8248830604744404,0.005813214211984041,0.03171036055914289,243.15630220514535
leisure-home-garden,4.823933975240715,18175,0.7090140284063831,[5 3 4 2 1],[3368   53   93   43   78],1.9334250343878954,0.010307793495421366,-0.004256158063973281,256.9708390646492
leisure-animation-manga,4.810429114611624,9205,0.7276788008881808,[5 2 1 4 3],[1692   26   40   55   28],1.9255839217816404,0.014865376651467374,-0.0089400103386712,254.78381314502988
fiction-comedy-fiction,4.834667790420003,35595,0.6852041332460659,[5 4 3 1 2],[6623  173  106  141   76],1.935243714004776,0.007118255402609918,-0.004946904482844072,205.65823851664558
christianity,4.823247356412365,431705,0.7464146466801089,[5 4 2 3 1],[80735  1582   663   877  2484],1.953683649714504,0.0022265615473238683,0.016162979792203602,259.23031931527316
government,4.43010266675276,77435,1.2607921446347168,[5 1 2 4 3],[12383  1391   516   680   517],1.8560082649964487,0.008880203821275068,0.01039969748791747,243.27784593530058
sports,4.612250937629831,878545,1.0711855508102375,[4 5 1 2 3],[  5227 151612  10753   3658   4459],1.8986790659556425,0.0022399111476438674,0.010486607661660985,208.35758555338657
music-music-commentary,4.823374050841862,60580,0.7289479924532869,[5 1 4 3 2],[11281   301   262   142   130],1.944206008583691,0.005804702959482016,0.006655719155683304,216.55257510729615
business-marketing,4.937095153971388,144345,0.4179029343911426,[5 4 1 2 3],[28012   408   201   108   140],1.9724271710138903,0.0021558703479798292,0.008290370430160898,246.2300391423326
music-music-interviews,4.799818080044781,71460,0.7743744045192125,[5 4 3 2 1],[13179   351   183   172   407],1.9377973691575707,0.005677636377761609,0.005754158566699585,201.04876854184158
education-how-to,4.800638451240861,97110,0.7696912870334565,[5 1 4 3 2],[17937   512   402   291   280],1.9349191638348264,0.004840973266193703,0.002684161154745901,243.69467614045928
science-social-sciences,4.420597355965399,61270,1.261481988195267,[1 5 4 2 3],[1047 9763  483  507  454],1.8451118002284967,0.00998861340643909,0.0017254504467751897,245.5674065611229
society-culture-documentary,4.313421405322612,156690,1.3347634365378647,[5 1 4 2 3],[23688  3060  1402  1498  1690],1.799604314251069,0.00660893913362768,-0.018725695687166644,258.1249601123237
business-management,4.867669814844459,93705,0.6233380289377094,[5 4 3 1 2],[17740   301   228   307   165],1.95080305213169,0.003991079069205084,0.002896990631502172,233.44127848033722
news-tech-news,4.409090909090909,45210,1.2606446885086204,[5 1 2 3 4],[7111  764  388  344  435],1.8328909533289095,0.0116204657727582,-0.007805339200703809,235.22981641229816
education-self-improvement,4.876771096853628,519805,0.6216865073223652,[5 4 2 3 1],[99133  1390   653   839  1946],1.9642077317455584,0.0016900490393647071,0.014173909178960997,252.47221554236685
sports-wilderness,4.7996786779894425,108925,0.7722463128551824,[5 3 1 4 2],[20096   335   604   486   264],1.9348175350011476,0.004586064411508079,0.0028069147932168192,223.46720220335092
health-fitness-alternative-health,4.790271560728141,167550,0.7904236693731123,[5 4 1 2 3],[30812   754   975   436   533],1.932676812891674,0.003784737922128319,0.002865454044459481,276.7915547597732
health-fitness-medicine,4.803187120092,60870,0.75516056778642,[5 4 1 3 2],[11211   299   307   202   155],1.9295219319862,0.005999095070662937,-0.0033089162403827643,275.73788401511416
business-investing,4.681912782537148,206610,0.9788561554498272,[5 1 2 3 4],[36664  2010   799   858   991],1.9151541551715794,0.004220766222541523,0.010675665826289649,241.54508494264556
science-natural-sciences,4.4763779527559056,50800,1.201472632677486,[5 3 2 4 1],[8257  375  393  383  752],1.8498031496062992,0.010447926715985507,-0.006623976408084209,257.63129921259844
science-nature,4.800247754722824,16145,0.7663081512394355,[5 3 1 2 4],[2976   48   84   46   75],1.9327965314338804,0.011820409207485111,0.0006528685056086392,252.41901517497678
tv-film-after-shows,4.391995291347851,135920,1.3099218726758612,[2 1 5 4 3],[  917  2729 21635   945   958],1.8610211889346675,0.006963888388852904,0.024321628931664563,277.4755738669806
sports-soccer,4.711517952364024,28130,0.9293180299730872,[5 1 2 3 4],[5032  243   94  112  145],1.9177035193743335,0.01085994405634756,0.0063037273314010545,203.71809456096693
